Calc Field #,Workbook,Workbook Dir,Data Source,Data Source Caption,Data Source Name (tech),Field Name,Field Caption,Field Name (tech),Formula,Formula Line #,Formula Line
10,Regional.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Global Temperatures,Global Temperatures,dataengine.1drcocf045eval105hqv70juo5cs (copy),Above Median?,Above Median?,Calculation_1422011631054323712,"IF AVG([Median]) > 0 THEN ""above median"" ELSEIF AVG([Median]) < 0  THEN ""below median"" ELSE ""(at median)"" END",3,ELSEIF AVG([Median]) < 0 
10,Regional.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Global Temperatures,Global Temperatures,dataengine.1drcocf045eval105hqv70juo5cs (copy),Above Median?,Above Median?,Calculation_1422011631054323712,"IF AVG([Median]) > 0 THEN ""above median"" ELSEIF AVG([Median]) < 0  THEN ""below median"" ELSE ""(at median)"" END",4,"THEN ""below median"""
10,Regional.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Global Temperatures,Global Temperatures,dataengine.1drcocf045eval105hqv70juo5cs (copy),Above Median?,Above Median?,Calculation_1422011631054323712,"IF AVG([Median]) > 0 THEN ""above median"" ELSEIF AVG([Median]) < 0  THEN ""below median"" ELSE ""(at median)"" END",5,"ELSE ""(at median)"""
10,Regional.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Global Temperatures,Global Temperatures,dataengine.1drcocf045eval105hqv70juo5cs (copy),Above Median?,Above Median?,Calculation_1422011631054323712,"IF AVG([Median]) > 0 THEN ""above median"" ELSEIF AVG([Median]) < 0  THEN ""below median"" ELSE ""(at median)"" END",6,END
11,Regional.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Global Temperatures,Global Temperatures,dataengine.1drcocf045eval105hqv70juo5cs (copy),Date,Date,Calculation_233483507020013568,"DATE(DATEPARSE(""yyyy/MM"",[Year]))",1,"DATE(DATEPARSE(""yyyy/MM"",[Year]))"
12,Regional.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Global Temperatures,Global Temperatures,dataengine.1drcocf045eval105hqv70juo5cs (copy),Number of Records,,Number of Records,1,1,1
13,Superstore.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Sample - Superstore,Sample - Superstore,dataengine.42019.618651678240,Days to Ship Actual,Days to Ship Actual,Calculation_0831103151444568,"DATEDIFF('day',[Order Date],[Ship Date])",1,"DATEDIFF('day',[Order Date],[Ship Date])"
14,Superstore.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Sample - Superstore,Sample - Superstore,dataengine.42019.618651678240,Sales Forecast,Sales Forecast,Calculation_5421109230915137,[Sales]*(1-[Parameters].[Churn Rate])*(1+[Parameters].[New Business Growth]),1,[Sales]*(1-[Parameters].[Churn Rate])*(1+[Parameters].[New Business Growth])
15,Superstore.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Sample - Superstore,Sample - Superstore,dataengine.42019.618651678240,Ship Status,Ship Status,Calculation_6401103171259723,"if [Days to Ship Actual]> [Days to Ship Scheduled] then ""Shipped Late""  elseIF [Days to Ship Actual]= [Days to Ship Scheduled] then ""Shipped On Time"" Else ""Shipped Early"" end",1,"if [Days to Ship Actual]> [Days to Ship Scheduled] then ""Shipped Late"" "
15,Superstore.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Sample - Superstore,Sample - Superstore,dataengine.42019.618651678240,Ship Status,Ship Status,Calculation_6401103171259723,"if [Days to Ship Actual]> [Days to Ship Scheduled] then ""Shipped Late""  elseIF [Days to Ship Actual]= [Days to Ship Scheduled] then ""Shipped On Time"" Else ""Shipped Early"" end",2,"elseIF [Days to Ship Actual]= [Days to Ship Scheduled] then ""Shipped On Time"""
15,Superstore.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Sample - Superstore,Sample - Superstore,dataengine.42019.618651678240,Ship Status,Ship Status,Calculation_6401103171259723,"if [Days to Ship Actual]> [Days to Ship Scheduled] then ""Shipped Late""  elseIF [Days to Ship Actual]= [Days to Ship Scheduled] then ""Shipped On Time"" Else ""Shipped Early"" end",3,"Else ""Shipped Early"" end"
16,Superstore.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Sample - Superstore,Sample - Superstore,dataengine.42019.618651678240,Days to Ship Scheduled,Days to Ship Scheduled,Calculation_6861103170623145,"CASE  [Ship Mode] WHEN ""Same Day"" THEN 0 WHEN ""First Class"" THEN 1 WHEN ""Second Class"" THEN 3 WHEN ""Standard Class"" THEN 6 END",1,CASE  [Ship Mode]
16,Superstore.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Sample - Superstore,Sample - Superstore,dataengine.42019.618651678240,Days to Ship Scheduled,Days to Ship Scheduled,Calculation_6861103170623145,"CASE  [Ship Mode] WHEN ""Same Day"" THEN 0 WHEN ""First Class"" THEN 1 WHEN ""Second Class"" THEN 3 WHEN ""Standard Class"" THEN 6 END",2,"WHEN ""Same Day"" THEN 0"
16,Superstore.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Sample - Superstore,Sample - Superstore,dataengine.42019.618651678240,Days to Ship Scheduled,Days to Ship Scheduled,Calculation_6861103170623145,"CASE  [Ship Mode] WHEN ""Same Day"" THEN 0 WHEN ""First Class"" THEN 1 WHEN ""Second Class"" THEN 3 WHEN ""Standard Class"" THEN 6 END",3,"WHEN ""First Class"" THEN 1"
16,Superstore.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Sample - Superstore,Sample - Superstore,dataengine.42019.618651678240,Days to Ship Scheduled,Days to Ship Scheduled,Calculation_6861103170623145,"CASE  [Ship Mode] WHEN ""Same Day"" THEN 0 WHEN ""First Class"" THEN 1 WHEN ""Second Class"" THEN 3 WHEN ""Standard Class"" THEN 6 END",4,"WHEN ""Second Class"" THEN 3"
16,Superstore.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Sample - Superstore,Sample - Superstore,dataengine.42019.618651678240,Days to Ship Scheduled,Days to Ship Scheduled,Calculation_6861103170623145,"CASE  [Ship Mode] WHEN ""Same Day"" THEN 0 WHEN ""First Class"" THEN 1 WHEN ""Second Class"" THEN 3 WHEN ""Standard Class"" THEN 6 END",5,"WHEN ""Standard Class"" THEN 6"
16,Superstore.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Sample - Superstore,Sample - Superstore,dataengine.42019.618651678240,Days to Ship Scheduled,Days to Ship Scheduled,Calculation_6861103170623145,"CASE  [Ship Mode] WHEN ""Same Day"" THEN 0 WHEN ""First Class"" THEN 1 WHEN ""Second Class"" THEN 3 WHEN ""Standard Class"" THEN 6 END",6,END
17,Superstore.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Sample - Superstore,Sample - Superstore,dataengine.42019.618651678240,Order Profitable?,Order Profitable?,Calculation_9060122104947471,{fixed [Order ID]:sum([Profit])}>0 // calculates the profit at the order level,1,{fixed [Order ID]:sum([Profit])}>0
17,Superstore.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Sample - Superstore,Sample - Superstore,dataengine.42019.618651678240,Order Profitable?,Order Profitable?,Calculation_9060122104947471,{fixed [Order ID]:sum([Profit])}>0 // calculates the profit at the order level,2,// calculates the profit at the order level
18,Superstore.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Sample - Superstore,Sample - Superstore,dataengine.42019.618651678240,Profit per Customer,Profit per Customer,Calculation_9321103144526191 1,sum([Profit])/countD([Customer Name]),1,sum([Profit])/countD([Customer Name])
19,Superstore.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Sample - Superstore,Sample - Superstore,dataengine.42019.618651678240,Sales per Customer,Sales per Customer,Calculation_9321103144526191,Sum([Sales])/countD([Customer Name]),1,Sum([Sales])/countD([Customer Name])
20,Superstore.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Sample - Superstore,Sample - Superstore,dataengine.42019.618651678240,Profit Ratio,Profit Ratio,Calculation_9921103144103743,sum([Profit])/sum([Sales]),1,sum([Profit])/sum([Sales])
21,Superstore.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Sample - Superstore,Sample - Superstore,dataengine.42019.618651678240,Sales above Target?,Sales above Target?,Calculation_9951107165644870,"If Sum([Sales])>SUM([Sales Target Extract].[Sales Target]) then ""Above Target"" else ""Below Target"" end",1,"If Sum([Sales])>SUM([Sales Target Extract].[Sales Target]) then ""Above Target"" else ""Below Target"" end"
22,Superstore.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Sample - Superstore,Sample - Superstore,dataengine.42019.618651678240,Number of Records,,Number of Records,1,1,1
23,Superstore.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Sample - Superstore,Sample - Superstore,dataengine.42019.618651678240,Units estimate,Units estimate,Sales est (copy),"ROUND([Quantity]*(1-[Parameters].[Churn Rate])*(1+[Parameters].[New Business Growth]),0)",1,"ROUND([Quantity]*(1-[Parameters].[Churn Rate])*(1+[Parameters].[New Business Growth]),0)"
24,Superstore.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Sample - Superstore,Sample - Superstore,dataengine.42019.618651678240,Profit per Order,Profit per Order,Sales per Customer (copy),Sum([Profit])/countD([Order ID]),1,Sum([Profit])/countD([Order ID])
25,Superstore.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Sales Target Extract,Sales Target Extract,federated.0z0pi331stuxay1ce6y5f1yxvsw9,Number of Records,,Number of Records,1,1,1
26,Superstore.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Sales Commission,Sales Commission,Sales Planning new,Achievement (estimated),Achievement (estimated),Achievement (copy),[Sales],1,[Sales]
27,Superstore.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Sales Commission,Sales Commission,Sales Planning new,Achieved Quota,Achieved Quota,Achievement (variable) (copy),"if SUM([Achievement (estimated)]) >= [Parameters].[New Quota] then ""100% +"" elseif SUM([Achievement (estimated)]) >= 0.75 * [Parameters].[New Quota] then ""75-100%"" elseif SUM([Achievement (estimated)]) >= 0.5 * [Parameters].[New Quota] then ""50-75%"" else ""Below 50%"" end",1,"if SUM([Achievement (estimated)]) >= [Parameters].[New Quota] then ""100% +"""
27,Superstore.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Sales Commission,Sales Commission,Sales Planning new,Achieved Quota,Achieved Quota,Achievement (variable) (copy),"if SUM([Achievement (estimated)]) >= [Parameters].[New Quota] then ""100% +"" elseif SUM([Achievement (estimated)]) >= 0.75 * [Parameters].[New Quota] then ""75-100%"" elseif SUM([Achievement (estimated)]) >= 0.5 * [Parameters].[New Quota] then ""50-75%"" else ""Below 50%"" end",2,"elseif SUM([Achievement (estimated)]) >= 0.75 * [Parameters].[New Quota] then ""75-100%"""
27,Superstore.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Sales Commission,Sales Commission,Sales Planning new,Achieved Quota,Achieved Quota,Achievement (variable) (copy),"if SUM([Achievement (estimated)]) >= [Parameters].[New Quota] then ""100% +"" elseif SUM([Achievement (estimated)]) >= 0.75 * [Parameters].[New Quota] then ""75-100%"" elseif SUM([Achievement (estimated)]) >= 0.5 * [Parameters].[New Quota] then ""50-75%"" else ""Below 50%"" end",3,"elseif SUM([Achievement (estimated)]) >= 0.5 * [Parameters].[New Quota] then ""50-75%"""
27,Superstore.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Sales Commission,Sales Commission,Sales Planning new,Achieved Quota,Achieved Quota,Achievement (variable) (copy),"if SUM([Achievement (estimated)]) >= [Parameters].[New Quota] then ""100% +"" elseif SUM([Achievement (estimated)]) >= 0.75 * [Parameters].[New Quota] then ""75-100%"" elseif SUM([Achievement (estimated)]) >= 0.5 * [Parameters].[New Quota] then ""50-75%"" else ""Below 50%"" end",4,"else ""Below 50%"" end"
28,Superstore.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Sales Commission,Sales Commission,Sales Planning new,Base (Variable),,Base (Variable),[Parameters].[Base Salary],1,[Parameters].[Base Salary]
29,Superstore.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Sales Commission,Sales Commission,Sales Planning new,% of quota achieved,% of quota achieved,Calculation_0440925131659539,AVG([Achievement (estimated)])/[Parameters].[New Quota],1,AVG([Achievement (estimated)])/[Parameters].[New Quota]
30,Superstore.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Sales Commission,Sales Commission,Sales Planning new,Rank over 3,Rank over 3,Calculation_4120925132203686,"ROUND(INDEX() / 3 - 0.6,0) + 1",1,"ROUND(INDEX() / 3 - 0.6,0) + 1"
31,Superstore.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Sales Commission,Sales Commission,Sales Planning new,Sort by field,Sort by field,Calculation_8140925133029303,"if [Parameters].[Sort by]=""Names"" then 0 elseif [Parameters].[Sort by]=""% quota descending"" then -[% of quota achieved] else [% of quota achieved] end",1,"if [Parameters].[Sort by]=""Names"" then 0"
31,Superstore.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Sales Commission,Sales Commission,Sales Planning new,Sort by field,Sort by field,Calculation_8140925133029303,"if [Parameters].[Sort by]=""Names"" then 0 elseif [Parameters].[Sort by]=""% quota descending"" then -[% of quota achieved] else [% of quota achieved] end",2,"elseif [Parameters].[Sort by]=""% quota descending"" then -[% of quota achieved]"
31,Superstore.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Sales Commission,Sales Commission,Sales Planning new,Sort by field,Sort by field,Calculation_8140925133029303,"if [Parameters].[Sort by]=""Names"" then 0 elseif [Parameters].[Sort by]=""% quota descending"" then -[% of quota achieved] else [% of quota achieved] end",3,else [% of quota achieved] end
32,Superstore.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Sales Commission,Sales Commission,Sales Planning new,Commission (Variable),,Commission (Variable),([Parameters].[Commission Rate]*[Sales])/100,1,([Parameters].[Commission Rate]*[Sales])/100
33,Superstore.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Sales Commission,Sales Commission,Sales Planning new,Estimate Compensation label,,Estimate Compensation label,"""Estimated Compensation:""",1,"""Estimated Compensation:"""
34,Superstore.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Sales Commission,Sales Commission,Sales Planning new,OTE (Variable),,OTE (Variable),[Parameters].[Base Salary] + ([Parameters].[Commission Rate]*[Parameters].[New Quota])/100,1,[Parameters].[Base Salary] + ([Parameters].[Commission Rate]*[Parameters].[New Quota])/100
35,Superstore.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Sales Commission,Sales Commission,Sales Planning new,Total Compensation,,Total Compensation,MIN([Base (Variable)]) + SUM([Commission (Variable)]),1,MIN([Base (Variable)]) + SUM([Commission (Variable)])
36,Superstore.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Sales Commission,Sales Commission,Sales Planning new,Total Sales label,,Total Sales label,"""Total Sales:""",1,"""Total Sales:"""
37,World Indicators.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,World Indicators,World Indicators,federated.0nwrb8b1xoqnsf1dnja360y7cceu,Above Threshold?,Above Threshold?,Calculation_1554586357494272000,"if [Health Exp % GDP]>[Parameters].[Health Exp Threshold] then ""Above Threshold"" else ""Below Threshold"" end",1,"if [Health Exp % GDP]>[Parameters].[Health Exp Threshold] then ""Above Threshold"" else ""Below Threshold"" end"
38,World Indicators.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,World Indicators,World Indicators,federated.0nwrb8b1xoqnsf1dnja360y7cceu,GDP per Capita,GDP per Capita,Calculation_1554586357495853057,[GDP]/[Population Total],1,[GDP]/[Population Total]
39,World Indicators.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,World Indicators,World Indicators,federated.0nwrb8b1xoqnsf1dnja360y7cceu,Birth Rate Bin,Birth Rate Bin,Calculation_1554586357496451074,"if ([Birth Rate])<0.015 then ""Below 1.5%"" elseif ([Birth Rate])<0.03 then ""1.5-3%"" else ""Above 3%"" end",1,"if ([Birth Rate])<0.015 then ""Below 1.5%"" elseif"
39,World Indicators.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,World Indicators,World Indicators,federated.0nwrb8b1xoqnsf1dnja360y7cceu,Birth Rate Bin,Birth Rate Bin,Calculation_1554586357496451074,"if ([Birth Rate])<0.015 then ""Below 1.5%"" elseif ([Birth Rate])<0.03 then ""1.5-3%"" else ""Above 3%"" end",2,"([Birth Rate])<0.03 then ""1.5-3%"" else"
39,World Indicators.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,World Indicators,World Indicators,federated.0nwrb8b1xoqnsf1dnja360y7cceu,Birth Rate Bin,Birth Rate Bin,Calculation_1554586357496451074,"if ([Birth Rate])<0.015 then ""Below 1.5%"" elseif ([Birth Rate])<0.03 then ""1.5-3%"" else ""Above 3%"" end",3,"""Above 3%"" end"
40,World Indicators.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,World Indicators,World Indicators,federated.0nwrb8b1xoqnsf1dnja360y7cceu,Life Expectancy,Life Expectancy,Calculation_638103803600809984,([Life Expectancy Female]+[Life Expectancy Male])/2,1,([Life Expectancy Female]+[Life Expectancy Male])/2
41,World Indicators.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,World Indicators,World Indicators,federated.0nwrb8b1xoqnsf1dnja360y7cceu,Ease of Business (clusters),Ease of Business (clusters),Country (clusters),grouped <<[Country]>> values,1,grouped <<[Country]>> values
42,World Indicators.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,World Indicators,World Indicators,federated.0nwrb8b1xoqnsf1dnja360y7cceu,GDP per Capita (bin),GDP per Capita (bin),GDP per Capita (bin),[GDP per Capita],1,[GDP per Capita]
43,World Indicators.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,World Indicators,World Indicators,federated.0nwrb8b1xoqnsf1dnja360y7cceu,Number of Records,,Number of Records,1,1,1
